date,timestamp,open,high,low,close,volume,source_symbol,source
2024-09-25,1727222400,2901.4185,2952.4511,2889.048,2896.3057,,,
2024-09-26,1727308800,2893.7451,3000.9526,2889.0143,3000.9526,,,
2024-09-27,1727395200,3049.1026,3087.5286,3017.4453,3087.5286,,,
2024-09-30,1727654400,3194.7224,3358.5883,3153.697,3336.4974,,,
2024-10-08,1728345600,3674.4048,3674.4048,3372.1868,3489.7751,,,
2024-10-09,1728432000,3427.2199,3437.1571,3249.1591,3258.8578,,,
2024-10-10,1728518400,3277.6916,3379.8053,3228.1248,3301.9259,,,
2024-10-11,1728604800,3287.8727,3297.7517,3187.9882,3217.7377,,,
2024-10-14,1728864000,3241.4275,3294.6199,3203.901,3284.3225,,,
2024-10-15,1728950400,3265.7461,3285.2147,3201.2919,3201.2919,,,
2024-10-16,1729036800,3169.1685,3236.848,3167.7364,3202.948,,,
2024-10-17,1729123200,3220.7334,3241.5675,3169.3843,3169.3843,,,
2024-10-18,1729209600,3165.9745,3313.9784,3152.8213,3261.5633,,,
2024-10-21,1729468800,3276.0598,3300.664,3239.0965,3268.11,,,
2024-10-22,1729555200,3263.8224,3294.9612,3255.1375,3285.8669,,,
2024-10-23,1729641600,3285.2474,3331.0823,3277.0663,3302.8028,,,
2024-10-24,1729728000,3287.8243,3292.9448,3266.8823,3280.2625,,,
2024-10-25,1729814400,3280.7616,3319.3571,3276.1303,3299.7003,,,
2024-10-28,1730073600,3300.4634,3322.1975,3279.715,3322.1975,,,
2024-10-29,1730160000,3328.0885,3340.4584,3284.2108,3286.407,,,
2024-10-30,1730246400,3273.6421,3291.6795,3244.8063,3266.2378,,,
2024-10-31,1730332800,3267.975,3295.7421,3252.3899,3279.8244,,,
2024-11-01,1730419200,3275.5768,3305.3181,3258.7346,3272.0142,,,
2024-11-04,1730678400,3275.6787,3310.2072,3263.8421,3310.2072,,,
2024-11-05,1730764800,3306.8098,3386.9869,3302.0472,3386.9869,,,
2024-11-06,1730851200,3395.2217,3420.9986,3367.0812,3383.8062,,,
2024-11-07,1730937600,3359.9851,3470.6609,3356.258,3470.6609,,,
2024-11-08,1731024000,3502.1331,3509.8182,3443.193,3452.2971,,,
2024-11-11,1731283200,3432.3672,3471.1222,3416.7266,3470.0657,,,
2024-11-12,1731369600,3469.8908,3489.4244,3402.0422,3421.9701,,,
2024-11-13,1731456000,3406.9164,3442.2983,3404.5254,3439.2778,,,
2024-11-14,1731542400,3429.5054,3441.7746,3376.1528,3379.8389,,,
2024-11-15,1731628800,3369.8092,3391.3204,3330.7263,3330.7263,,,
2024-11-18,1731888000,3344.6904,3386.9031,3309.0076,3323.8486,,,
2024-11-19,1731974400,3324.8831,3346.7577,3284.133,3346.0098,,,
2024-11-20,1732060800,3337.6778,3375.2482,3333.0023,3367.9893,,,
2024-11-21,1732147200,3362.9444,3378.5175,3348.8552,3370.4039,,,
2024-11-22,1732233600,3368.043,3372.0034,3267.1916,3267.1916,,,
2024-11-25,1732492800,3274.884,3285.4555,3232.9178,3263.7597,,,
2024-11-26,1732579200,3256.8576,3285.3281,3252.8661,3259.7572,,,
2024-11-27,1732665600,3250.591,3309.8805,3227.3553,3309.7789,,,
2024-11-28,1732752000,3308.2797,3319.2559,3290.3641,3295.6983,,,
2024-11-29,1732838400,3295.2096,3357.5013,3293.6899,3326.4557,,,
2024-12-02,1733097600,3328.482,3369.3032,3323.0091,3363.9823,,,
2024-12-03,1733184000,3366.2853,3386.6176,3348.3742,3378.8063,,,
2024-12-04,1733270400,3376.5715,3388.0241,3352.9434,3364.6498,,,
