date,timestamp,open,high,low,close,volume,source_symbol,source
2025-01-03,,2892.64,2898.71,2815.2,2828.5,,,
2025-01-06,,2813.32,2822.34,2794.2,2816.26,,,
2025-01-08,,2814.88,2847.49,2813.39,2840.79,,,
2025-01-09,,2841.61,2853.96,2768.58,2773.12,,,
2025-01-10,,2767.27,2843.34,2744.58,2824.59,,,
2025-01-13,,2852.31,2882.49,2835.12,2866.11,,,
2025-01-14,,2847.36,2881.79,2828.41,2859.51,,,
2025-01-15,,2867.93,2879.64,2838.59,2842.96,,,
2025-01-16,,2893.67,2929.28,2892.47,2911.29,,,
2025-01-17,,2905.26,2949.7,2893.16,2945.52,,,
2025-01-20,,2974.56,2983.3,2918.34,2929.55,,,
2025-01-21,,2918.08,2937.32,2884.94,2934.71,,,
2025-01-22,,2944.63,2972.83,2924.74,2972.62,,,
2025-01-23,,2942.62,2944.4,2910.26,2926.1,,,
2025-01-24,,2953.18,2969.31,2933.71,2947.94,,,
2025-01-27,,2942.45,2946.36,2885.49,2891.39,,,
2025-01-28,,2890.62,2934.65,2866.81,2931.97,,,
2025-01-29,,2930.86,2957.64,2925.49,2950.68,,,
2025-01-30,,2947.03,2967.47,2940.3,2967.47,,,
2025-01-31,,2984.99,2995.45,2940.12,2948.1,,,
2025-02-03,,2933.84,2942.79,2912.51,2926.17,,,
2025-02-04,,2942.35,2947.7,2907.31,2917.71,,,
2025-02-05,,2902.15,2936.42,2889.87,2930.56,,,
2025-02-06,,2962.02,2984.89,2949.69,2970.12,,,
2025-02-07,,2982.88,2985.36,2958.04,2966.53,,,
2025-02-10,,2991.99,3020.01,2982.39,3012.39,,,
2025-02-11,,2992.37,3019.61,2982.61,3018.02,,,
2025-02-12,,3040.72,3059.35,3020.6,3025.63,,,
2025-02-13,,3226.02,3247.68,3144.12,3206.97,,,
2025-02-14,,3265.12,3288.32,3150.82,3185.0,,,
2025-02-17,,3255.81,3316.76,3244.8,3308.41,,,
2025-02-18,,3314.88,3333.38,3252.74,3258.76,,,
2025-02-19,,3273.05,3287.75,3221.53,3270.64,,,
2025-02-20,,3294.54,3325.5,3277.51,3292.62,,,
2025-02-21,,3310.03,3320.05,3258.82,3283.29,,,
2025-02-24,,3310.75,3316.42,3272.99,3303.63,,,
2025-02-25,,3362.15,3371.06,3320.24,3326.14,,,
2025-02-26,,3338.4,3339.41,3233.39,3276.0,,,
2025-02-27,,3249.63,3261.13,3190.72,3232.65,,,
2025-02-28,,3199.93,3210.07,3149.37,3200.48,,,
2025-03-03,,3189.81,3191.13,3127.69,3145.73,,,
2025-03-04,,3201.83,3246.09,3194.28,3241.63,,,
2025-03-05,,3242.44,3282.15,3231.3,3263.62,,,
2025-03-06,,3230.89,3234.26,3188.78,3207.7,,,
2025-03-07,,3229.51,3249.0,3160.45,3166.88,,,
2025-03-10,,3224.63,3226.58,3195.24,3200.81,,,
2025-03-11,,3193.02,3215.06,3178.42,3200.95,,,
2025-03-12,,3185.44,3194.93,3160.01,3183.97,,,
2025-03-13,,3149.33,3160.37,3100.06,3121.57,,,
2025-03-14,,3158.4,3200.36,3135.0,3195.08,,,
2025-03-17,,3249.15,3257.33,3213.42,3245.19,,,
2025-03-18,,3263.17,3280.09,3227.47,3257.49,,,
2025-03-19,,3213.51,3236.47,3192.85,3229.79,,,
2025-03-20,,3238.0,3240.5,3180.46,3223.14,,,
2025-03-21,,3218.29,3237.19,3191.61,3191.61,,,
2025-03-24,,3201.66,3202.62,3171.13,3178.66,,,
2025-03-25,,3186.87,3194.43,3122.61,3164.62,,,
2025-03-26,,3195.03,3200.02,3143.65,3146.31,,,
2025-03-27,,3120.47,3124.32,3076.04,3083.99,,,
2025-03-28,,3055.81,3082.26,3001.62,3025.65,,,
2025-03-31,,3008.6,3031.6,2970.94,3013.36,,,
2025-04-01,,3032.41,3044.23,2952.04,2964.43,,,
2025-04-02,,2919.67,2958.4,2917.94,2926.39,,,
2025-04-03,,2957.64,2972.49,2853.76,2859.58,,,
2025-04-04,,2886.61,2902.62,2778.43,2781.97,,,
2025-04-07,,2648.09,2791.28,2646.7,2729.89,,,
2025-04-08,,2775.78,2780.46,2727.98,2746.41,,,
2025-04-09,,2689.77,2707.15,2598.85,2650.69,,,
2025-04-10,,2790.31,2801.19,2742.48,2764.28,,,
2025-04-11,,2825.03,2839.28,2800.69,2829.92,,,
2025-04-14,,2848.99,2856.63,2806.95,2819.69,,,
2025-04-15,,2824.64,2836.0,2788.26,2805.55,,,
2025-04-16,,2801.01,2870.39,2790.7,2861.83,,,
2025-04-17,,2863.2,2884.76,2844.33,2865.32,,,
2025-04-18,,2881.79,2892.01,2825.41,2872.77,,,
2025-04-21,,2881.23,2929.91,2880.01,2922.46,,,
2025-04-22,,2945.13,2954.49,2914.37,2954.49,,,
2025-04-23,,2929.78,2946.43,2900.32,2943.23,,,
2025-04-24,,2961.81,2973.99,2934.79,2944.43,,,
2025-04-25,,2962.11,3009.48,2956.8,3006.14,,,
2025-04-28,,3009.92,3053.15,2979.14,3034.3,,,
2025-04-29,,2994.64,2998.68,2955.18,2957.66,,,
2025-04-30,,2923.86,2954.21,2887.83,2918.47,,,
2025-05-02,,2872.87,2877.83,2835.04,2836.7,,,
2025-05-05,,2810.36,2821.54,2731.74,2738.8,,,
2025-05-06,,2740.17,2826.61,2738.5,2820.07,,,
2025-05-07,,2807.12,2845.14,2790.14,2833.09,,,
2025-05-08,,2864.76,2873.66,2834.59,2850.93,,,
2025-05-12,,2936.83,2947.07,2904.77,2930.17,,,
2025-05-13,,2941.74,2941.93,2911.05,2935.53,,,
2025-05-14,,2917.17,2946.37,2909.54,2924.21,,,
2025-05-15,,2875.03,2877.46,2823.19,2840.05,,,
2025-05-16,,2848.05,2876.67,2781.0,2840.34,,,
2025-05-19,,2879.77,2893.56,2862.6,2882.63,,,
2025-05-20,,2859.26,2862.0,2823.42,2823.42,,,
2025-05-21,,2833.08,2844.04,2806.38,2809.58,,,
2025-05-22,,2784.81,2809.47,2756.04,2792.16,,,
2025-05-23,,2779.56,2790.29,2762.67,2770.1,,,
2025-05-26,,2735.78,2738.27,2699.84,2699.84,,,
2025-05-27,,2718.11,2740.05,2705.78,2736.75,,,
2025-05-28,,2754.0,2799.5,2747.96,2785.2,,,
2025-05-29,,2811.66,2839.97,2800.93,2809.94,,,
2025-05-30,,2814.06,2837.85,2793.15,2828.83,,,
2025-06-02,,2795.02,2830.55,2770.04,2829.67,,,
2025-06-03,,2817.23,2835.39,2807.63,2834.06,,,
2025-06-04,,2854.36,2871.78,2825.52,2836.64,,,
2025-06-05,,2853.2,2858.23,2837.61,2856.61,,,
2025-06-06,,2856.63,2910.52,2784.0,2786.16,,,
2025-06-09,,2767.94,2778.4,2733.75,2737.76,,,
2025-06-10,,2762.46,2767.14,2702.29,2722.37,,,
2025-06-11,,2719.6,2742.45,2718.98,2733.2,,,
2025-06-13,,2732.21,2762.76,2732.2,2750.32,,,
2025-06-16,,2758.97,2767.51,2731.24,2737.83,,,
2025-06-17,,2737.85,2791.03,2730.27,2788.94,,,
2025-06-18,,2799.02,2807.34,2779.68,2791.83,,,
2025-06-19,,2793.74,2800.14,2761.76,2783.81,,,
2025-06-20,,2776.11,2781.08,2748.57,2751.04,,,
2025-06-23,,2753.6,2768.93,2736.41,2759.67,,,
2025-06-24,,2726.43,2747.9,2715.79,2744.95,,,
2025-06-25,,2762.61,2790.78,2759.92,2790.78,,,
2025-06-26,,2794.0,2803.45,2780.49,2797.27,,,
2025-06-27,,2790.67,2814.29,2778.57,2806.11,,,
2025-06-30,,2818.98,2847.38,2806.49,2847.38,,,
2025-07-01,,2854.04,2858.55,2837.12,2848.44,,,
2025-07-02,,2838.45,2840.66,2810.0,2815.26,,,
2025-07-03,,2821.21,2840.13,2812.07,2823.34,,,
2025-07-04,,2808.3,2821.15,2788.9,2801.65,,,
2025-07-07,,2786.06,2788.67,2753.69,2756.14,,,
2025-07-08,,2748.19,2764.75,2738.75,2755.58,,,
2025-07-09,,2733.01,2735.07,2684.87,2696.45,,,
2025-07-10,,2724.64,2735.15,2705.98,2732.45,,,
2025-07-11,,2705.46,2707.82,2638.08,2642.02,,,
2025-07-14,,2616.31,2722.53,2616.03,2714.14,,,
2025-07-15,,2750.37,2761.82,2734.8,2756.95,,,
2025-07-16,,2758.65,2784.82,2747.82,2777.16,,,
2025-07-17,,2787.8,2788.3,2754.86,2761.48,,,
2025-07-18,,2758.28,2789.39,2715.11,2784.63,,,
2025-07-21,,2816.11,2827.94,2804.14,2821.78,,,
2025-07-22,,2811.64,2833.84,2801.11,2825.61,,,
2025-07-23,,2839.41,2849.8,2829.25,2841.16,,,
2025-07-24,,2837.72,2838.22,2806.64,2807.69,,,
2025-07-25,,2819.07,2827.03,2767.44,2772.39,,,
2025-07-28,,2760.9,2783.82,2726.61,2730.98,,,
2025-07-29,,2739.49,2764.03,2728.97,2758.28,,,
2025-07-30,,2751.92,2754.35,2718.65,2726.24,,,
2025-07-31,,2737.13,2741.14,2713.68,2732.12,,,
2025-08-01,,2749.41,2755.95,2724.54,2727.98,,,
2025-08-04,,2733.23,2776.99,2727.86,2773.85,,,
2025-08-05,,2784.71,2792.51,2764.77,2786.37,,,
2025-08-06,,2791.29,2798.21,2754.51,2764.62,,,
2025-08-07,,2836.05,2915.43,2824.78,2876.43,,,
2025-08-08,,2894.58,2926.98,2872.12,2924.63,,,
2025-08-11,,2991.68,2996.4,2956.94,2964.15,,,
2025-08-12,,2959.97,2980.01,2952.34,2977.18,,,
2025-08-13,,2987.6,2988.06,2959.75,2973.02,,,
2025-08-14,,2945.01,2985.27,2933.82,2977.34,,,
2025-08-15,,2987.67,3014.21,2978.69,3012.09,,,
2025-08-18,,2949.46,2972.97,2941.7,2951.26,,,
2025-08-19,,3000.75,3006.13,2962.37,2965.66,,,
2025-08-20,,2974.56,2977.26,2928.85,2940.78,,,
2025-08-21,,2933.1,2935.48,2879.36,2883.5,,,
2025-08-22,,2882.95,2903.48,2876.26,2896.76,,,
2025-08-25,,2886.35,2890.83,2857.97,2887.24,,,
2025-08-26,,2906.96,2915.46,2878.74,2885.87,,,
2025-08-27,,2892.32,2916.92,2888.1,2911.48,,,
2025-08-28,,2918.92,2919.01,2900.33,2912.72,,,
2025-08-29,,2893.99,2904.14,2882.55,2899.38,,,
2025-09-01,,2923.49,2925.02,2886.97,2886.97,,,
2025-09-02,,2878.37,2883.35,2842.8,2845.39,,,
2025-09-03,,2863.12,2875.01,2846.87,2867.55,,,
2025-09-04,,2883.86,2894.49,2864.62,2873.7,,,
2025-09-05,,2891.09,2906.7,2885.92,2901.45,,,
2025-09-08,,2914.28,2921.62,2906.62,2921.62,,,
2025-09-09,,2926.02,2939.2,2919.84,2935.96,,,
2025-09-10,,2919.56,2938.36,2912.5,2914.26,,,
2025-09-11,,2916.27,2916.35,2890.68,2908.14,,,
2025-09-12,,2904.03,2905.68,2837.01,2839.73,,,
2025-09-15,,2826.86,2834.6,2801.03,2809.85,,,
2025-09-16,,2822.85,2831.8,2778.51,2802.77,,,
2025-09-17,,2793.24,2823.75,2784.37,2814.04,,,
2025-09-18,,2814.63,2816.84,2776.12,2793.58,,,
2025-09-19,,2787.39,2794.33,2745.4,2748.06,,,
2025-09-22,,2735.8,2748.52,2702.52,2741.06,,,
2025-09-23,,2755.98,2769.88,2733.36,2758.65,,,
2025-09-24,,2683.53,2745.14,2675.62,2723.58,,,
2025-09-25,,2733.53,2738.58,2699.42,2708.68,,,
2025-09-26,,2701.97,2725.97,2686.68,2725.97,,,
2025-09-29,,2713.14,2744.8,2680.53,2684.09,,,
2025-09-30,,2681.81,2689.6,2651.13,2684.6,,,
2025-10-01,,2690.14,2692.19,2640.56,2647.25,,,
2025-10-02,,2629.36,2648.67,2623.1,2632.07,,,
2025-10-03,,2639.88,2649.57,2600.85,2604.55,,,
2025-10-06,,2594.38,2651.14,2579.19,2648.5,,,
2025-10-07,,2645.04,2673.27,2635.79,2668.6,,,
2025-10-08,,2669.75,2677.75,2548.37,2562.51,,,
2025-10-09,,2559.14,2645.81,2521.43,2638.37,,,
2025-10-10,,2635.45,2640.07,2572.91,2588.56,,,
2025-10-13,,2602.37,2611.54,2549.77,2576.38,,,
2025-10-14,,2571.87,2575.76,2530.17,2541.49,,,
2025-10-15,,2537.12,2564.83,2521.87,2545.22,,,
2025-10-16,,2534.12,2617.18,2528.86,2607.78,,,
2025-10-17,,2695.86,2734.79,2688.36,2721.14,,,
2025-10-20,,2736.9,2757.39,2726.99,2744.83,,,
2025-10-21,,2694.35,2715.78,2608.42,2632.42,,,
2025-10-22,,2659.13,2678.25,2636.48,2653.0,,,
2025-10-23,,2568.42,2582.67,2546.26,2570.67,,,
2025-10-24,,2580.2,2606.81,2530.37,2543.93,,,
2025-10-27,,2500.63,2506.3,2457.87,2476.79,,,
2025-10-28,,2480.3,2515.91,2475.24,2495.09,,,
2025-10-29,,2502.84,2531.25,2500.89,2523.35,,,
2025-10-30,,2531.72,2567.79,2528.01,2557.48,,,
2025-10-31,,2555.63,2556.72,2522.73,2525.2,,,
2025-11-01,,2524.01,2534.73,2520.57,2532.66,,,
